asin,title,imgUrl,productURL,stars,reviews,price,listPrice,isBestSeller,boughtInLastMonth,id,category_name
B0CBQCYRMD,for 2.5 inch Awesome Blossoms Jelly Roll 100% Cotton Fabric Quilting Strips 17 Piece,https://m.media-amazon.com/images/I/71mzDPXCwwL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CBQCYRMD,,0,19.78,0.0,False,0,7,Craft & Hobby Fabric
B01D8OGL34,"717-21 GomBoy Curve Professional Folding Saw 210mm, Large Teeth Yellow",https://m.media-amazon.com/images/I/51ut2trTyTL._AC_UL320_.jpg,https://www.amazon.com/dp/B01D8OGL34,4.8,0,54.99,0.0,False,200,207,Power Tools & Hand Tools
B0BJDL6CMH,"KEMIMOTO Center Console Bag Compatible with Polaris Slingshot SL S LE SLR GT 2020 2021 2022 2023, Upgraded Storage Bags Center Shoulder Console Box Between Seat Storage for Slingshot Accessories",https://m.media-amazon.com/images/I/814osKdGQTL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BJDL6CMH,4.5,0,69.99,79.99,False,0,28,Motorcycle & Powersports
B0BSN4HS52,Women's Crochet Tote Bag Knitted Shoulder Crossbody Handbags Aesthetic Shopping Bag Cute Purses Crocheted Hobo Bag,https://m.media-amazon.com/images/I/51iVM5dEX4L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BSN4HS52,3.8,32,23.99,0.0,False,0,118,Women's Handbags
B094XXBT8Z,Meland Kids Camping Set with Tent 42pcs - Camping Gear Toy with Pretend Play Tent Outdoor Toy for Toddlers Birthday Gift,https://m.media-amazon.com/images/I/71H2H+N0tkL._AC_UL320_.jpg,https://www.amazon.com/dp/B094XXBT8Z,4.7,0,38.99,0.0,False,600,270,Toys & Games
B0B6D28N5V,Baby Boys' Knit Shirt,https://m.media-amazon.com/images/I/710UAWrxjSL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B6D28N5V,4.8,32,13.77,14.95,False,0,84,Boys' Clothing
B0C27MKCMY,Water-resistant Laptop Backpacks Lightweight Shoulder Bag for Men Women Casual Daypack Black,https://m.media-amazon.com/images/I/61aZ3904LlL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C27MKCMY,4.7,0,25.31,0.0,False,0,109,Laptop Bags
B07MPZNHSP,"Caravelle Retro Quartz Mens Watch, Stainless Steel with Black Leather StrapSport",https://m.media-amazon.com/images/I/71YwBqrBUiL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MPZNHSP,4.3,0,106.25,125.0,False,0,113,Men's Watches
B08N188PKP,"UTEX Corner Desk with Storage and Hutch for Small Space, Kids Corner Desk with Reversible Hutch for Girls Boys, Study Computer Desk Workstation & Writing Table for Home School Use, White",https://m.media-amazon.com/images/I/61x9gr-LEjS._AC_UL320_.jpg,https://www.amazon.com/dp/B08N188PKP,4.5,211,,0.0,False,50,124,Kids' Furniture
B09HY4CHSP,"Retainer Case - Pack of 2 - Odorless Mouth Guard Case - Ventilated, Durable & Hygienic for Carrying and Protecting Braces, Dentures & Aligners - 3.14 x 3.14 x 1.1 - (Bluish)",https://m.media-amazon.com/images/I/61XOdt4zmqL._AC_UL320_.jpg,https://www.amazon.com/dp/B09HY4CHSP,4.7,0,6.99,9.99,False,200,126,Oral Care Products
B086QD47R6,Hannah Montana The Movie Wii (Renewed),https://m.media-amazon.com/images/I/912kXyetTwL._AC_UY218_.jpg,https://www.amazon.com/dp/B086QD47R6,,0,10.0,14.99,False,0,244,"Wii Games, Consoles & Accessories"
B08CC4LVB5,11pcs Cross Stitch Fabric DIY Cross Stitch Aida Cloth Fabric for Embroidery DIY Handmade Art Craft (5.9×5.9in),https://m.media-amazon.com/images/I/81FU2jQEq9L._AC_UL320_.jpg,https://www.amazon.com/dp/B08CC4LVB5,4.5,0,9.93,0.0,False,0,8,Needlework Supplies
B0CFF5FW14,Zodiac Bracelet For Women Teen Girls Zodiac Gifts Natural Stone Zodiac Charm Adjustable Size Birthday Christmas Gifts,https://m.media-amazon.com/images/I/81GHPtyqGBL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CFF5FW14,,0,14.99,0.0,False,0,95,Girls' Jewelry
B0B3QZ7BKL,Onerisly Fall Throw Pillow Covers 18x18 Set of 4 for Watercolor Pumpkin Pattern Throw Pillowcase Warm Tones Farmhouse Decorative Thanksgiving Home Autumn Cushion Case for Couch,https://m.media-amazon.com/images/I/81b6aB5JvVL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B3QZ7BKL,4.7,364,19.99,21.99,False,200,165,Home Décor Products
